metric,mean_a,mean_b,delta_a_minus_b,wilcoxon_statistic,p_value,significant_at_0_05
rouge1,0.44050740285242274,0.43574317566102033,0.004764227191402404,30924330.0,1.0404847893006552e-07,yes
rouge2,0.2105944100529007,0.20941798656434996,0.0011764234885507374,32205699.0,0.5435517846505957,no
rougel,0.3061564712947118,0.30917448062950403,-0.0030180093347922377,31446078.5,0.00021208309292994568,yes
bleu,0.10882721071946942,0.10457303268281212,0.0042541780366572995,31035928.0,4.94212853360851e-08,yes
meteor,0.3317761449322092,0.294648975949137,0.03712716898307217,20266625.0,1.6948675545338515e-280,yes
