sample_id,BART_post_rouge1,T5large_post_rouge1,BART_post_rouge2,T5large_post_rouge2,BART_post_rougel,T5large_post_rougel,BART_post_bleu,T5large_post_bleu,BART_post_meteor,T5large_post_meteor
0,0.39506172839506176,0.18750000000000003,0.20253164556962025,0.0,0.345679012345679,0.15625,0.08557205355606828,0.0076022038913114,0.3567287010193585,0.09915014164305949
1,0.4044943820224719,0.4042553191489362,0.1379310344827586,0.1956521739130435,0.35955056179775285,0.36170212765957444,0.10655498022151062,0.12447904522984012,0.20454545454545456,0.27282529885292534
2,0.35443037974683544,0.1842105263157895,0.12987012987012986,0.027027027027027025,0.22784810126582275,0.13157894736842105,0.03320585776558893,0.006369304104455854,0.19366068824730243,0.10443864229765012
3,0.36956521739130443,0.3953488372093023,0.13333333333333333,0.14285714285714285,0.2826086956521739,0.2790697674418604,0.08369019961300535,0.0875920482180612,0.21220877731623622,0.22584325396825394
4,0.40425531914893614,0.3287671232876712,0.10869565217391304,0.14084507042253522,0.2340425531914894,0.24657534246575344,0.02728291212250173,0.028670091103500415,0.2143098661731207,0.11961722488038277
5,0.5217391304347827,0.2388059701492537,0.2686567164179105,0.030769230769230767,0.3478260869565218,0.11940298507462685,0.017839797286123647,0.007425055521504611,0.40944370026002685,0.15686274509803919
6,0.5565217391304348,0.39603960396039606,0.2831858407079646,0.10101010101010101,0.3652173913043478,0.25742574257425743,0.18786283717957036,0.025181618050111477,0.3753837818313166,0.23193430656934308
7,0.3404255319148936,0.3661971830985915,0.08695652173913043,0.08695652173913045,0.1702127659574468,0.2816901408450704,0.011782386561983231,0.010874116402247223,0.12387387387387387,0.15059241706161136
8,0.3823529411764706,0.23076923076923078,0.21212121212121213,0.08,0.3235294117647059,0.15384615384615385,0.08008975904759519,0.01689756859802124,0.30443686006825943,0.16101083032490976
9,0.37333333333333335,0.43478260869565216,0.24657534246575344,0.27272727272727276,0.3466666666666667,0.43478260869565216,0.11274892861807176,0.008301095462822575,0.3686430506498406,0.39837677183356196
10,0.4473684210526315,0.463768115942029,0.2972972972972973,0.20895522388059704,0.4210526315789474,0.20289855072463767,0.14289435396260283,0.12748547320686965,0.38716814159292035,0.38603558241020475
11,0.5671641791044777,0.06451612903225806,0.3384615384615385,0.0,0.41791044776119407,0.03225806451612903,0.21601402337783326,0.005959978627465526,0.5674009454651787,0.03571428571428571
12,0.4415584415584416,0.35443037974683544,0.21333333333333332,0.15584415584415587,0.2857142857142857,0.30379746835443044,0.0425257311229647,0.014319831453943518,0.30202321724709785,0.26520291106451216
13,0.24742268041237112,0.09195402298850575,0.06315789473684211,0.023529411764705882,0.16494845360824742,0.0689655172413793,0.013513353086126568,0.010273579631879939,0.17516673916195444,0.04484304932735426
14,0.1639344262295082,0.13333333333333333,0.10169491525423728,0.09302325581395349,0.09836065573770493,0.13333333333333333,0.028028496487689646,0.016020720994064933,0.219704433497537,0.10026737967914437
15,0.202020202020202,0.22222222222222224,0.020618556701030927,0.02531645569620253,0.0808080808080808,0.09876543209876543,0.010746774156890347,0.01090362294515934,0.11224287974683544,0.13875545851528384
16,0.43373493975903615,0.39024390243902435,0.24691358024691357,0.25,0.3614457831325301,0.3170731707317073,0.21151425622674594,0.1592675376852445,0.4330734243014945,0.3706299472295514
17,0.2524271844660194,0.25,0.0,0.023255813953488375,0.15533980582524273,0.15909090909090912,0.006103269581378325,0.010749717854768606,0.08687258687258687,0.10848126232741619
18,0.37681159420289856,0.4406779661016949,0.11940298507462689,0.2807017543859649,0.2898550724637681,0.37288135593220334,0.09968499639681352,0.20286097244585535,0.2941820371079853,0.3349480968858132
19,0.41463414634146345,0.35820895522388063,0.15,0.12307692307692308,0.3170731707317074,0.3283582089552239,0.03248429723773907,0.014797222978594793,0.3691567665289256,0.27536335138216017
20,0.30769230769230765,0.3333333333333333,0.05263157894736842,0.05714285714285714,0.20512820512820512,0.2222222222222222,0.013529171154975211,0.00819869131948948,0.13020833333333334,0.13262599469496023
21,0.2882882882882883,0.23376623376623376,0.03669724770642202,0.02666666666666667,0.16216216216216214,0.1038961038961039,0.009765230681943161,0.011707737216685294,0.18290649593170602,0.11179296893582608
22,0.30434782608695654,0.24096385542168675,0.02222222222222222,0.12345679012345678,0.15217391304347827,0.21686746987951805,0.012916905368871115,0.03638248430761096,0.14348785871964678,0.1126126126126126
23,0.48648648648648646,0.5070422535211269,0.3055555555555555,0.28985507246376807,0.35135135135135137,0.3661971830985916,0.09982191811055816,0.1824350512810268,0.35200489745944286,0.38721291123525764
24,0.2820512820512821,0.5,0.07894736842105263,0.3636363636363637,0.20512820512820515,0.47058823529411764,0.013716549481565737,0.21325085530666996,0.18837116686579056,0.3523120211539766
25,0.4347826086956522,0.48837209302325585,0.3555555555555555,0.380952380952381,0.41304347826086957,0.4418604651162791,0.29666782564265565,0.2762383985027829,0.3655737704918033,0.4043761349629755
26,0.32432432432432434,0.2807017543859649,0.1388888888888889,0.14545454545454545,0.21621621621621623,0.2105263157894737,0.08496143264866135,0.1216411062125622,0.2910504361016306,0.19488324175824176
27,0.18666666666666668,0.25396825396825395,0.027397260273972605,0.03278688524590164,0.08,0.09523809523809523,0.005164611437214954,0.012534724690717635,0.10330578512396693,0.18538647342995168
