sample_id,BART_pre_rouge1,PEGASUS_pre_rouge1,BART_pre_rouge2,PEGASUS_pre_rouge2,BART_pre_rougel,PEGASUS_pre_rougel,BART_pre_bleu,PEGASUS_pre_bleu,BART_pre_meteor,PEGASUS_pre_meteor
0,0.441860465116279,0.39436619718309857,0.30952380952380953,0.2318840579710145,0.39534883720930236,0.28169014084507044,0.18175360693029036,0.09376777910873085,0.42971164936562856,0.22437087937598663
1,0.4742268041237113,0.47826086956521735,0.23157894736842105,0.3111111111111111,0.3917525773195876,0.43478260869565216,0.12819892373467637,0.23242131229632795,0.38598993288590605,0.32781429667146306
2,0.3488372093023256,0.37142857142857144,0.16666666666666666,0.14705882352941177,0.23255813953488372,0.2857142857142857,0.03248429723773907,0.0377364173491497,0.2574723107267486,0.25522237196765496
3,0.36956521739130443,0.3513513513513513,0.13333333333333333,0.16666666666666666,0.2826086956521739,0.2432432432432432,0.08369019961300535,0.07538423737630301,0.21220877731623622,0.19694636900179627
4,0.45544554455445546,0.3561643835616438,0.08080808080808081,0.08450704225352113,0.21782178217821782,0.2191780821917808,0.013314476735202753,0.02313549336700318,0.2359550561797753,0.17927710843373493
5,0.3283582089552239,0.29850746268656714,0.15384615384615383,0.0923076923076923,0.26865671641791045,0.1791044776119403,0.014098910172549634,0.016373682488441264,0.22990181782832705,0.23358024691358026
6,0.4144144144144144,0.43564356435643564,0.22018348623853212,0.2424242424242424,0.2882882882882883,0.35643564356435636,0.21603306171469483,0.17841204407546815,0.2920715905409783,0.28956422018348627
7,0.31249999999999994,0.35000000000000003,0.06382978723404255,0.15384615384615385,0.18750000000000003,0.325,0.006043355220907112,0.028554328499238738,0.1342281879194631,0.1750588235294118
8,0.32,0.22641509433962265,0.1095890410958904,0.0784313725490196,0.24000000000000002,0.1509433962264151,0.014385671495255964,0.01684563245571646,0.24800000000000003,0.16159420289855073
9,0.41269841269841273,0.47826086956521735,0.29508196721311475,0.3181818181818182,0.41269841269841273,0.43478260869565216,0.1835246569050701,0.12740810460323607,0.41304502707324026,0.4166666666666667
10,0.4533333333333333,0.23880597014925375,0.19178082191780824,0.06153846153846154,0.32,0.17910447761194032,0.09276734202644997,0.014222837710344357,0.35918065451032477,0.07621951219512195
11,0.1927710843373494,0.4516129032258065,0.04938271604938271,0.16666666666666669,0.12048192771084339,0.25806451612903225,0.009252921910030762,0.01858022132360697,0.1785339765100671,0.2715328467153284
12,0.4,0.3333333333333333,0.16438356164383564,0.13793103448275862,0.3466666666666666,0.26666666666666666,0.04577153103133635,0.04509981582165334,0.30336616671731703,0.24261603375527427
13,0.19512195121951217,0.22222222222222227,0.01652892561983471,0.025316455696202528,0.08130081300813008,0.14814814814814814,0.0038829978593302597,0.005871925248701311,0.11434511434511435,0.0684931506849315
14,0.16666666666666666,0.36363636363636365,0.10344827586206895,0.19047619047619047,0.09999999999999999,0.36363636363636365,0.028757116379452795,0.04934494673001858,0.2207920792079208,0.30612244897959184
15,0.25225225225225223,0.13333333333333333,0.03669724770642202,0.0,0.14414414414414414,0.10666666666666669,0.011382809806126881,0.004581688688882876,0.1973628957755942,0.04454342984409799
16,0.4,0.4918032786885245,0.23655913978494625,0.3728813559322034,0.3368421052631579,0.45901639344262296,0.16923542658215585,0.23406136322045057,0.39115646258503406,0.3686797752808989
17,0.38181818181818183,0.4421052631578947,0.11111111111111112,0.23655913978494625,0.2363636363636364,0.3578947368421052,0.06262411456218506,0.14821492374390025,0.24071969696969694,0.30065359477124187
18,0.3950617283950617,0.3055555555555555,0.20253164556962025,0.05714285714285715,0.3950617283950617,0.2222222222222222,0.1008853247688249,0.012287542170364497,0.3657709267704368,0.09966777408637874
19,0.2894736842105263,0.29850746268656714,0.08108108108108107,0.03076923076923077,0.2105263157894737,0.17910447761194032,0.0686555146522301,0.015336517972390861,0.16403107227077263,0.15376625722543355
20,0.2391304347826087,0.375,0.022222222222222223,0.06451612903225806,0.13043478260869565,0.1875,0.006024752529730896,0.007182750795415536,0.1388888888888889,0.12295081967213113
21,0.2692307692307692,0.21874999999999997,0.07843137254901962,0.0967741935483871,0.15384615384615383,0.21874999999999997,0.012740551048713893,0.014328561144981227,0.17259461629096368,0.10299248523886205
22,0.2826086956521739,0.358974358974359,0.02222222222222222,0.05263157894736842,0.13043478260869565,0.1794871794871795,0.012644818102024216,0.01606303201702109,0.18492088465342085,0.1916759854626782
23,0.4600000000000001,0.7,0.2653061224489796,0.5517241379310344,0.3,0.4000000000000001,0.1150813168036993,0.28178763576954896,0.36623886559011765,0.45356640706799767
24,0.3953488372093023,0.39999999999999997,0.2142857142857143,0.2641509433962264,0.3255813953488372,0.36363636363636365,0.09974743613703871,0.1699212719881832,0.3171717171717172,0.240654407321074
25,0.26,0.2580645161290323,0.0,0.02197802197802198,0.18000000000000002,0.17204301075268819,0.005912090648543404,0.012128350765176318,0.16129032258064513,0.13347022587268995
26,0.2784810126582279,0.4210526315789474,0.10389610389610389,0.18181818181818182,0.20253164556962022,0.2105263157894737,0.07358577950614774,0.1023857820560022,0.2304620333906484,0.2745387453874538
27,0.3098591549295775,0.1702127659574468,0.08695652173913043,0.044444444444444446,0.1408450704225352,0.12765957446808512,0.011440503453835606,0.01041441909198652,0.2244857594936709,0.07042253521126761
28,0.4050632911392405,0.3050847457627119,0.18181818181818182,0.0,0.30379746835443033,0.10169491525423728,0.026943512408184215,0.009490012376346203,0.32904805632078354,0.18145161290322584
29,0.3116883116883117,0.4533333333333334,0.24,0.3013698630136986,0.2857142857142857,0.4,0.08016440471425877,0.15473577834882835,0.26885609567901236,0.47816265060240964
30,0.5309734513274336,0.44680851063829785,0.2702702702702703,0.2173913043478261,0.33628318584070793,0.2553191489361702,0.15901223473546128,0.02543078004375743,0.2989508279610669,0.2484110039510172
31,0.24175824175824176,0.25,0.04494382022471909,0.0697674418604651,0.13186813186813184,0.18181818181818182,0.015032618275787689,0.014602673388866536,0.17364355012576355,0.13967032967032966
32,0.3428571428571429,0.3055555555555555,0.23529411764705882,0.2,0.28571428571428575,0.2777777777777778,0.057696334522615064,0.05760680049381206,0.343796711509716,0.2869318181818181
33,0.20512820512820515,0.4,0.0,0.1132075471698113,0.15384615384615388,0.2545454545454545,0.005923625523450718,0.043813813455581246,0.13157894736842107,0.26666666666666666
34,0.6067415730337079,0.17142857142857143,0.5287356321839081,0.0,0.6067415730337079,0.11428571428571428,0.3696665302879492,0.0075979932200010755,0.6090381679389314,0.09333333333333332
35,0.3448275862068966,0.32876712328767127,0.07058823529411765,0.11267605633802816,0.20689655172413796,0.24657534246575347,0.01597061663931659,0.011249913995345459,0.20722914372246698,0.14476082004555804
36,0.40476190476190477,0.3287671232876712,0.1951219512195122,0.056338028169014086,0.3333333333333333,0.1643835616438356,0.12799998274084814,0.01583610518564545,0.29973591549295775,0.11764705882352941
37,0.29213483146067415,0.39080459770114945,0.09195402298850573,0.18823529411764706,0.17977528089887637,0.2068965517241379,0.025863319306085313,0.035136827382058256,0.12626262626262627,0.22838811107098086
38,0.32558139534883723,0.29411764705882354,0.11904761904761904,0.060606060606060615,0.16279069767441862,0.23529411764705882,0.032943012585503834,0.015829718345892828,0.25943019943019946,0.15697597238815877
39,0.2631578947368421,0.15384615384615385,0.13513513513513514,0.0,0.23684210526315788,0.15384615384615385,0.056328721113585126,0.006510755202591488,0.2203798185941043,0.07220216606498195
40,0.4054054054054054,0.47058823529411764,0.3055555555555555,0.24489795918367346,0.4054054054054054,0.4313725490196078,0.16164754085176192,0.056281092169571056,0.41103069134630604,0.31931330472103003
41,0.16822429906542055,0.1411764705882353,0.0,0.0,0.09345794392523364,0.07058823529411765,0.005652694841526575,0.004000604227444798,0.11257035647279551,0.06916996047430829
42,0.5538461538461539,0.4999999999999999,0.41269841269841273,0.44,0.523076923076923,0.4999999999999999,0.22753263051145228,0.3525678415060714,0.6106922238372093,0.4176627279557407
43,0.5581395348837209,0.47058823529411764,0.3571428571428571,0.30303030303030304,0.37209302325581395,0.4117647058823529,0.26188641341024527,0.09893875112659026,0.428562242798354,0.32746467487955505
44,0.38235294117647056,0.3793103448275862,0.15151515151515152,0.17857142857142858,0.23529411764705882,0.24137931034482762,0.015378421668191944,0.016041048674590542,0.29523809523809524,0.15630252100840336
45,0.3571428571428572,0.3404255319148936,0.17073170731707316,0.08888888888888889,0.30952380952380953,0.21276595744680848,0.05421972076468391,0.009923631323778827,0.42338709677419356,0.11070110701107011
46,0.45,0.23728813559322037,0.28205128205128205,0.07017543859649122,0.42500000000000004,0.13559322033898305,0.16364501705279505,0.018693000799960027,0.4321509009009009,0.1291512915129151
47,0.1951219512195122,0.3508771929824561,0.0,0.07272727272727274,0.1219512195121951,0.3157894736842105,0.005484236895303142,0.03468342026003312,0.10355029585798815,0.20232371794871798
48,0.19999999999999998,0.4666666666666667,0.05128205128205128,0.3103448275862069,0.14999999999999997,0.39999999999999997,0.02410513685473638,0.16924776919198747,0.14645017510347022,0.3255731258366801
49,0.523076923076923,0.12499999999999997,0.4444444444444444,0.0,0.523076923076923,0.08333333333333334,0.30662108214575956,0.009849349468888718,0.6650519031141867,0.043478260869565216
50,0.3092783505154639,0.06896551724137931,0.06315789473684211,0.0,0.20618556701030927,0.06896551724137931,0.012482968330278779,0.006742910702712567,0.28581293157564347,0.032051282051282055
51,0.3508771929824561,0.5434782608695652,0.08928571428571429,0.15555555555555559,0.21052631578947367,0.41304347826086957,0.01264291511067447,0.02876021038388166,0.23053479884169684,0.237171077841342
52,0.35051546391752575,0.208955223880597,0.0631578947368421,0.030769230769230767,0.288659793814433,0.14925373134328357,0.013763718914373058,0.006099414623565709,0.29036406806489906,0.06459948320413438
