metric,mean_a,mean_b,delta_a_minus_b,wilcoxon_statistic,p_value,significant_at_0_05
rouge1,0.4472845293265451,0.41618590580679604,0.03109862351974907,22120525.0,1.5082023936328313e-201,yes
rouge2,0.2146884048762165,0.19345718320226096,0.021231221673955525,24454794.0,3.7643338537861377e-115,yes
rougel,0.30779064353067287,0.2944213229740455,0.013369320556627373,27967658.0,5.455763119292451e-43,yes
bleu,0.11013372692531896,0.07478944696741964,0.03534427995789932,15894236.0,0.0,yes
meteor,0.34438555557434714,0.2776224082817123,0.06676314729263483,12643141.0,0.0,yes
