metric,mean_a,mean_b,delta_a_minus_b,wilcoxon_statistic,p_value,significant_at_0_05
rouge1,0.4427066892196592,0.41618590580679604,0.02652078341286318,23706015.0,1.4967833645300026e-139,yes
rouge2,0.21341898235619156,0.19345718320226096,0.019961799153930593,24850634.5,4.373158125544594e-94,yes
rougel,0.3134136311162846,0.2944213229740455,0.018992308142239123,25887711.5,2.9189170065035953e-78,yes
bleu,0.10609123202323319,0.07478944696741964,0.03130178505581355,17877362.0,0.0,yes
meteor,0.304998903274538,0.2776224082817123,0.027376494992825684,23468347.0,1.1858405975914597e-150,yes
