sample_id,BART_post_rouge1,PEGASUS_post_rouge1,BART_post_rouge2,PEGASUS_post_rouge2,BART_post_rougel,PEGASUS_post_rougel,BART_post_bleu,PEGASUS_post_bleu,BART_post_meteor,PEGASUS_post_meteor
0,0.39506172839506176,0.5277777777777778,0.20253164556962025,0.37142857142857144,0.345679012345679,0.4722222222222222,0.08557205355606828,0.24654059869001407,0.3567287010193585,0.4532202871398803
1,0.4044943820224719,0.45,0.1379310344827586,0.25641025641025644,0.35955056179775285,0.4,0.10655498022151062,0.14115050213610963,0.20454545454545456,0.27875514403292184
2,0.35443037974683544,0.3661971830985915,0.12987012987012986,0.14492753623188406,0.22784810126582275,0.22535211267605634,0.03320585776558893,0.032549018577030416,0.19366068824730243,0.27186761229314416
3,0.36956521739130443,0.3835616438356164,0.13333333333333333,0.16901408450704225,0.2826086956521739,0.273972602739726,0.08369019961300535,0.07801185830984425,0.21220877731623622,0.19604086845466157
4,0.40425531914893614,0.3188405797101449,0.10869565217391304,0.059701492537313446,0.2340425531914894,0.17391304347826086,0.02728291212250173,0.02223926481691886,0.2143098661731207,0.18014527845036318
5,0.5217391304347827,0.5079365079365079,0.2686567164179105,0.2950819672131147,0.3478260869565218,0.4126984126984126,0.017839797286123647,0.05767333312444645,0.40944370026002685,0.5267716535433071
6,0.5565217391304348,0.6086956521739131,0.2831858407079646,0.37777777777777777,0.3652173913043478,0.4565217391304348,0.18786283717957036,0.2136523051104195,0.3753837818313166,0.4245917597261262
7,0.3404255319148936,0.34782608695652173,0.08695652173913043,0.11940298507462685,0.1702127659574468,0.2028985507246377,0.011782386561983231,0.009250348961589995,0.12387387387387387,0.13936768908924838
8,0.3823529411764706,0.4,0.21212121212121213,0.15094339622641512,0.3235294117647059,0.18181818181818185,0.08008975904759519,0.0497074547280084,0.30443686006825943,0.2958928571428572
9,0.37333333333333335,0.5106382978723404,0.24657534246575344,0.3555555555555555,0.3466666666666667,0.5106382978723404,0.11274892861807176,0.10682827247639556,0.3686430506498406,0.41105990783410135
10,0.4473684210526315,0.43333333333333324,0.2972972972972973,0.20689655172413793,0.4210526315789474,0.3333333333333333,0.14289435396260283,0.09092735920162837,0.38716814159292035,0.27616099071207434
11,0.5671641791044777,0.2909090909090909,0.3384615384615385,0.11320754716981132,0.41791044776119407,0.14545454545454545,0.21601402337783326,0.017554679594930896,0.5674009454651787,0.18930041152263374
12,0.4415584415584416,0.4102564102564102,0.21333333333333332,0.21052631578947364,0.2857142857142857,0.28205128205128205,0.0425257311229647,0.041745110800962694,0.30202321724709785,0.3165549802010356
13,0.24742268041237112,0.14492753623188406,0.06315789473684211,0.0,0.16494845360824742,0.057971014492753624,0.013513353086126568,0.0047586135417494535,0.17516673916195444,0.07009345794392523
14,0.1639344262295082,0.2727272727272727,0.10169491525423728,0.09523809523809523,0.09836065573770493,0.2727272727272727,0.028028496487689646,0.019320990745681776,0.219704433497537,0.22680260047281325
15,0.202020202020202,0.2619047619047619,0.020618556701030927,0.07317073170731707,0.0808080808080808,0.19047619047619047,0.010746774156890347,0.028306790463609788,0.11224287974683544,0.1381521739130435
16,0.43373493975903615,0.4848484848484849,0.24691358024691357,0.3125,0.3614457831325301,0.4242424242424243,0.21151425622674594,0.2514934804881174,0.4330734243014945,0.40377010532719876
