metric,mean_a,mean_b,delta_a_minus_b,wilcoxon_statistic,p_value,significant_at_0_05
rouge1,0.4472845293265451,0.4427066892196592,0.004577840106885889,31105580.0,5.555914017565517e-06,yes
rouge2,0.2146884048762165,0.21341898235619156,0.001269422520024932,32120094.5,0.3682131059279363,no
rougel,0.30779064353067287,0.3134136311162846,-0.0056229875856117495,30344003.5,1.1137698508602088e-11,yes
bleu,0.11013372692531896,0.10609123202323319,0.004042494902085775,30889808.5,3.011879481006972e-08,yes
meteor,0.34438555557434714,0.304998903274538,0.039386652299809144,19527921.0,3.67567085147864e-309,yes
