sample_id,PEGASUS_post_rouge1,T5large_post_rouge1,PEGASUS_post_rouge2,T5large_post_rouge2,PEGASUS_post_rougel,T5large_post_rougel,PEGASUS_post_bleu,T5large_post_bleu,PEGASUS_post_meteor,T5large_post_meteor
0,0.5277777777777778,0.18750000000000003,0.37142857142857144,0.0,0.4722222222222222,0.15625,0.24654059869001407,0.0076022038913114,0.4532202871398803,0.09915014164305949
1,0.45,0.4042553191489362,0.25641025641025644,0.1956521739130435,0.4,0.36170212765957444,0.14115050213610963,0.12447904522984012,0.27875514403292184,0.27282529885292534
2,0.3661971830985915,0.1842105263157895,0.14492753623188406,0.027027027027027025,0.22535211267605634,0.13157894736842105,0.032549018577030416,0.006369304104455854,0.27186761229314416,0.10443864229765012
3,0.3835616438356164,0.3953488372093023,0.16901408450704225,0.14285714285714285,0.273972602739726,0.2790697674418604,0.07801185830984425,0.0875920482180612,0.19604086845466157,0.22584325396825394
4,0.3188405797101449,0.3287671232876712,0.059701492537313446,0.14084507042253522,0.17391304347826086,0.24657534246575344,0.02223926481691886,0.028670091103500415,0.18014527845036318,0.11961722488038277
5,0.5079365079365079,0.2388059701492537,0.2950819672131147,0.030769230769230767,0.4126984126984126,0.11940298507462685,0.05767333312444645,0.007425055521504611,0.5267716535433071,0.15686274509803919
6,0.6086956521739131,0.39603960396039606,0.37777777777777777,0.10101010101010101,0.4565217391304348,0.25742574257425743,0.2136523051104195,0.025181618050111477,0.4245917597261262,0.23193430656934308
7,0.34782608695652173,0.3661971830985915,0.11940298507462685,0.08695652173913045,0.2028985507246377,0.2816901408450704,0.009250348961589995,0.010874116402247223,0.13936768908924838,0.15059241706161136
8,0.4,0.23076923076923078,0.15094339622641512,0.08,0.18181818181818185,0.15384615384615385,0.0497074547280084,0.01689756859802124,0.2958928571428572,0.16101083032490976
9,0.5106382978723404,0.43478260869565216,0.3555555555555555,0.27272727272727276,0.5106382978723404,0.43478260869565216,0.10682827247639556,0.008301095462822575,0.41105990783410135,0.39837677183356196
10,0.43333333333333324,0.463768115942029,0.20689655172413793,0.20895522388059704,0.3333333333333333,0.20289855072463767,0.09092735920162837,0.12748547320686965,0.27616099071207434,0.38603558241020475
11,0.2909090909090909,0.06451612903225806,0.11320754716981132,0.0,0.14545454545454545,0.03225806451612903,0.017554679594930896,0.005959978627465526,0.18930041152263374,0.03571428571428571
12,0.4102564102564102,0.35443037974683544,0.21052631578947364,0.15584415584415587,0.28205128205128205,0.30379746835443044,0.041745110800962694,0.014319831453943518,0.3165549802010356,0.26520291106451216
13,0.14492753623188406,0.09195402298850575,0.0,0.023529411764705882,0.057971014492753624,0.0689655172413793,0.0047586135417494535,0.010273579631879939,0.07009345794392523,0.04484304932735426
14,0.2727272727272727,0.13333333333333333,0.09523809523809523,0.09302325581395349,0.2727272727272727,0.13333333333333333,0.019320990745681776,0.016020720994064933,0.22680260047281325,0.10026737967914437
15,0.2619047619047619,0.22222222222222224,0.07317073170731707,0.02531645569620253,0.19047619047619047,0.09876543209876543,0.028306790463609788,0.01090362294515934,0.1381521739130435,0.13875545851528384
16,0.4848484848484849,0.39024390243902435,0.3125,0.25,0.4242424242424243,0.3170731707317073,0.2514934804881174,0.1592675376852445,0.40377010532719876,0.3706299472295514
17,0.5581395348837208,0.25,0.28571428571428575,0.023255813953488375,0.3488372093023256,0.15909090909090912,0.2398851693759729,0.010749717854768606,0.401886203440514,0.10848126232741619
18,0.32142857142857145,0.4406779661016949,0.07407407407407408,0.2807017543859649,0.2857142857142857,0.37288135593220334,0.03964265232954298,0.20286097244585535,0.2184256055363322,0.3349480968858132
19,0.3333333333333333,0.35820895522388063,0.0,0.12307692307692308,0.16666666666666666,0.3283582089552239,0.0076859346443516685,0.014797222978594793,0.08797653958944282,0.27536335138216017
20,0.3283582089552239,0.3333333333333333,0.061538461538461535,0.05714285714285714,0.1791044776119403,0.2222222222222222,0.008283969733745658,0.00819869131948948,0.13440860215053765,0.13262599469496023
21,0.23529411764705882,0.23376623376623376,0.030303030303030304,0.02666666666666667,0.08823529411764706,0.1038961038961039,0.009860491533760967,0.011707737216685294,0.10128002111375031,0.11179296893582608
22,0.35294117647058826,0.24096385542168675,0.030303030303030304,0.12345679012345678,0.17647058823529413,0.21686746987951805,0.011330942044636678,0.03638248430761096,0.12761020881670534,0.1126126126126126
23,0.711864406779661,0.5070422535211269,0.5614035087719298,0.28985507246376807,0.4067796610169491,0.3661971830985916,0.3157068149588752,0.1824350512810268,0.4849137931034482,0.38721291123525764
24,0.4074074074074074,0.5,0.2692307692307692,0.3636363636363637,0.37037037037037035,0.47058823529411764,0.17040655590590223,0.21325085530666996,0.23981589022239427,0.3523120211539766
25,0.48101265822784806,0.48837209302325585,0.3896103896103896,0.380952380952381,0.48101265822784806,0.4418604651162791,0.2788718294852382,0.2762383985027829,0.37874325703455314,0.4043761349629755
26,0.4210526315789474,0.2807017543859649,0.21818181818181817,0.14545454545454545,0.2105263157894737,0.2105263157894737,0.11120792862901521,0.1216411062125622,0.29045830202854983,0.19488324175824176
27,0.3137254901960784,0.25396825396825395,0.08163265306122448,0.03278688524590164,0.11764705882352941,0.09523809523809523,0.010128952330932188,0.012534724690717635,0.13761467889908258,0.18538647342995168
28,0.35714285714285715,0.3728813559322034,0.037037037037037035,0.17543859649122806,0.25,0.23728813559322037,0.016237908184412748,0.03248847222172617,0.35823780325246596,0.1593625498007968
29,0.5555555555555556,0.23999999999999996,0.5,0.027397260273972598,0.5555555555555556,0.10666666666666667,0.328101346468689,0.005034460682273033,0.4706842123931473,0.09803921568627451
30,0.6792452830188679,0.509090909090909,0.5,0.16666666666666666,0.6226415094339622,0.34545454545454546,0.3228611398122214,0.04058915893543137,0.5068010977210357,0.3103469238874929
31,0.3058823529411765,0.12903225806451613,0.0963855421686747,0.03333333333333333,0.21176470588235297,0.09677419354838708,0.01661994177903604,0.0034539912372509043,0.17516673916195444,0.034562211981566816
32,0.3529411764705882,0.3461538461538462,0.24242424242424243,0.27999999999999997,0.29411764705882354,0.3461538461538462,0.06134227411504095,0.012338142098850861,0.3484848484848485,0.3312556549713482
33,0.4912280701754386,0.41269841269841273,0.1090909090909091,0.13114754098360656,0.2456140350877193,0.25396825396825395,0.04222241460226927,0.05061107223438819,0.3202166140464591,0.313568518253107
34,0.12307692307692307,0.1764705882352941,0.0,0.0,0.12307692307692307,0.14705882352941174,0.0067105893980628495,0.007027138947825135,0.053908355795148244,0.06756756756756757
35,0.33333333333333326,0.30952380952380953,0.11428571428571428,0.0975609756097561,0.25000000000000006,0.2142857142857143,0.011581004275291674,0.011366389000383339,0.14443181818181816,0.15227868281688076
36,0.3478260869565218,0.43678160919540227,0.05970149253731344,0.21176470588235294,0.14492753623188406,0.3448275862068966,0.016373682488441264,0.13481992111033636,0.14705882352941177,0.2792533749208051
37,0.2777777777777778,0.3142857142857143,0.1142857142857143,0.11764705882352941,0.19444444444444442,0.2,0.026688295287802827,0.032378312013533334,0.09234828496042216,0.23318366195961043
38,0.3235294117647059,0.3116883116883117,0.12121212121212123,0.08,0.2647058823529412,0.2337662337662338,0.016008747877889758,0.013722599955986394,0.19893048128342247,0.16679790026246713
39,0.15384615384615385,0.19047619047619047,0.0,0.03278688524590164,0.15384615384615385,0.15873015873015872,0.0063161840849674045,0.006510755202591488,0.07194244604316546,0.07220216606498195
40,0.391304347826087,0.5,0.13636363636363635,0.3913043478260869,0.34782608695652173,0.5,0.028489318277723965,0.24343304284910333,0.17391304347826086,0.48283261802575106
41,0.10126582278481013,0.16091954022988506,0.0,0.0,0.05063291139240506,0.11494252873563218,0.0035071046240403745,0.005231185904583225,0.04960317460317461,0.10721247563352827
42,0.5098039215686274,0.42857142857142855,0.44897959183673464,0.14814814814814814,0.5098039215686274,0.28571428571428575,0.3387144423286913,0.037776418604808376,0.4159439512974866,0.2987951807228915
43,0.4776119402985075,0.3209876543209877,0.3076923076923077,0.17721518987341775,0.417910447761194,0.24691358024691357,0.13602610394115028,0.0661507607186886,0.3576294277929155,0.223240255962769
44,0.3283582089552239,0.2898550724637681,0.12307692307692308,0.11940298507462685,0.1791044776119403,0.2028985507246377,0.01474489249346001,0.0107801449228252,0.2289795918367347,0.1488
45,0.2692307692307692,0.2857142857142857,0.08,0.06557377049180328,0.19230769230769232,0.15873015873015872,0.009514689526368848,0.008388487457231183,0.08992805755395683,0.12152777777777778
46,0.2413793103448276,0.5660377358490566,0.07142857142857142,0.39215686274509803,0.13793103448275862,0.49056603773584906,0.01801210737536247,0.2779037471879495,0.12867647058823528,0.47189135877399285
47,0.3103448275862069,0.303030303030303,0.07142857142857142,0.0,0.2758620689655172,0.2727272727272727,0.020027703443529585,0.008388487457231183,0.1811547403771635,0.15432098765432098
48,0.3492063492063492,0.44210526315789467,0.13114754098360656,0.27956989247311825,0.22222222222222224,0.35789473684210527,0.052930314574135356,0.13336986497272746,0.23772628886265246,0.4928850605244185
49,0.36000000000000004,0.7777777777777778,0.125,0.6153846153846153,0.28,0.7777777777777778,0.023103257620595934,0.2881519150515533,0.26861702127659576,0.8727312403343482
50,0.07017543859649122,0.13114754098360656,0.0,0.03389830508474576,0.07017543859649122,0.09836065573770492,0.0068089414888111745,0.013671528942296604,0.03194888178913737,0.08036338225017471
51,0.38202247191011235,0.4615384615384615,0.16091954022988508,0.1764705882352941,0.3146067415730337,0.3269230769230769,0.02837860690283222,0.14224450821879644,0.21196464143426297,0.2967251002965289
52,0.19047619047619047,0.4545454545454546,0.06557377049180328,0.15625000000000003,0.19047619047619047,0.24242424242424243,0.013410223515542797,0.018432092390865892,0.09637305699481867,0.33930493413152346
53,0.32499999999999996,0.2962962962962963,0.10256410256410256,0.0759493670886076,0.275,0.1728395061728395,0.029224865149786863,0.013365863767826365,0.14745308310991959,0.17037533512064343
54,0.24,0.19607843137254902,0.0,0.0,0.07999999999999999,0.11764705882352941,0.010713701843513142,0.010275474580767148,0.10000000000000002,0.099601593625498
55,0.25,0.24242424242424243,0.05714285714285715,0.0625,0.25,0.21212121212121213,0.010422323780099494,0.011398615457120072,0.1509433962264151,0.18517059333385866
56,0.3582089552238806,0.18181818181818182,0.06153846153846154,0.0,0.1791044776119403,0.06818181818181818,0.004337234134163037,0.005511756761027533,0.09615384615384616,0.05694760820045557
57,0.49484536082474223,0.46,0.3368421052631579,0.24489795918367346,0.4123711340206186,0.27999999999999997,0.22842487751934476,0.09660130805209133,0.2797461749507667,0.23130060728744947
58,0.4444444444444445,0.6153846153846154,0.19672131147540983,0.2631578947368421,0.31746031746031744,0.5128205128205128,0.10415881222618376,0.021285176991151816,0.2497874149659864,0.3356894157706343
59,0.4230769230769231,0.6222222222222222,0.16,0.46511627906976744,0.2692307692307692,0.6222222222222222,0.023928177367020565,0.247192792472822,0.29802158273381296,0.4660582108779668
60,0.4324324324324324,0.4651162790697675,0.13888888888888887,0.1904761904761905,0.24324324324324323,0.3023255813953488,0.06949465979308633,0.08076943041793481,0.22785064239828692,0.3106471816283925
61,0.24137931034482762,0.19999999999999998,0.07142857142857142,0.04166666666666667,0.20689655172413796,0.15999999999999998,0.01883240896070105,0.018272664875356538,0.22897959183673466,0.1537190082644628
62,0.5964912280701755,0.576271186440678,0.18181818181818185,0.14035087719298248,0.38596491228070173,0.33898305084745767,0.024139780622364045,0.011288382276635612,0.3211992945326279,0.335666403785489
63,0.33333333333333337,0.4074074074074074,0.08695652173913043,0.11538461538461538,0.24999999999999994,0.2592592592592593,0.037634395103175636,0.010517019382036898,0.21692439862542953,0.26804037938876246
64,0.5194805194805194,0.45,0.2933333333333333,0.15384615384615385,0.4675324675324675,0.325,0.08769317641069697,0.023733751617602526,0.2470281281393013,0.20276107771097748
65,0.4615384615384615,0.5185185185185185,0.23999999999999996,0.30769230769230765,0.4615384615384615,0.3333333333333333,0.13106569744194646,0.1042726172622779,0.30812362148228856,0.32081214435601263
66,0.31746031746031744,0.3209876543209877,0.13114754098360656,0.10126582278481013,0.2857142857142857,0.24691358024691357,0.011751670124473734,0.013469438256331312,0.17923739711934156,0.1371571072319202
67,0.45454545454545453,0.22222222222222224,0.14285714285714288,0.03846153846153846,0.2727272727272727,0.18518518518518517,0.03152861344254501,0.007205335066302803,0.3896391856480548,0.09345794392523364
68,0.3823529411764706,0.3243243243243243,0.15151515151515152,0.05555555555555555,0.23529411764705882,0.18918918918918917,0.015763621832060752,0.012861506171212227,0.1837037037037037,0.14208044216154514
69,0.3728813559322034,0.3384615384615384,0.2456140350877193,0.22222222222222224,0.3728813559322034,0.3384615384615384,0.09792005300040355,0.039825696112811726,0.21780746991717456,0.2137489456330036
70,0.3111111111111111,0.326530612244898,0.046511627906976744,0.1702127659574468,0.26666666666666666,0.2040816326530612,0.009410489957951634,0.018561813742586367,0.09803921568627452,0.14492753623188406
71,0.5185185185185185,0.631578947368421,0.2692307692307692,0.3636363636363637,0.4074074074074074,0.5614035087719299,0.19172507328474903,0.18207052811092134,0.41165616847998987,0.43358236151603496
72,0.39344262295081966,0.40506329113924056,0.2711864406779661,0.25974025974025977,0.39344262295081966,0.37974683544303794,0.13863728423657268,0.12273033502938982,0.24846796657381612,0.32288048198002606
73,0.1875,0.0625,0.0,0.0,0.15625,0.0625,0.007511251053510192,0.005474870710453651,0.08445945945945947,0.01694915254237288
74,0.5283018867924528,0.4776119402985075,0.39215686274509803,0.276923076923077,0.49056603773584906,0.44776119402985076,0.20949186953975754,0.09561650802329855,0.4175441235459285,0.45103092783505155
75,0.3188405797101449,0.20833333333333334,0.08955223880597014,0.0425531914893617,0.2028985507246377,0.125,0.013691530604546248,0.005844941052207697,0.17121184202444564,0.11655011655011653
76,0.15384615384615383,0.3050847457627119,0.0,0.24561403508771928,0.11538461538461538,0.3050847457627119,0.005978466911072287,0.09790201506171681,0.06309148264984228,0.19665109034267914
77,0.30379746835443033,0.3953488372093023,0.18181818181818182,0.1904761904761905,0.2531645569620253,0.23255813953488372,0.0677167233689321,0.07000775584486671,0.22713343857368376,0.2947136563876652
78,0.48484848484848486,0.3043478260869565,0.21875,0.15555555555555556,0.33333333333333337,0.1956521739130435,0.03906036868131432,0.08695659942316884,0.31727091438098665,0.29507679360403954
79,0.5333333333333333,0.34782608695652173,0.3103448275862069,0.31818181818181823,0.43333333333333335,0.34782608695652173,0.17226307014894687,0.01855871887123593,0.5267716535433071,0.2924600802664162
80,0.48837209302325585,0.30769230769230765,0.2619047619047619,0.07894736842105263,0.3023255813953488,0.20512820512820512,0.1997562600237626,0.013539286048587165,0.3100754278039596,0.1211453744493392
81,0.6938775510204083,0.31034482758620696,0.5531914893617021,0.07142857142857144,0.6938775510204083,0.2413793103448276,0.4617761861611047,0.01687589360987099,0.5768339768339766,0.2000117481203008
82,0.27848101265822783,0.2727272727272727,0.025974025974025976,0.0697674418604651,0.12658227848101267,0.20454545454545459,0.005585506947238123,0.012030141681991924,0.12777912850852313,0.12875536480686695
83,0.5352112676056338,0.4067796610169492,0.43478260869565216,0.10526315789473685,0.5352112676056338,0.30508474576271183,0.2800586479608628,0.01997352782940349,0.6509202393509528,0.3519981412639405
84,0.5797101449275363,0.4999999999999999,0.417910447761194,0.3103448275862069,0.3768115942028986,0.39999999999999997,0.19065410307334288,0.1064220838031774,0.35847749960800707,0.19006202324089255
85,0.4050632911392405,0.23076923076923078,0.12987012987012986,0.026315789473684213,0.27848101265822783,0.12820512820512822,0.016027156563267888,0.006662532280277221,0.22994949494949496,0.10250569476082005
86,0.4878048780487805,0.3174603174603175,0.2,0.16393442622950818,0.3902439024390244,0.2857142857142857,0.02033949092454382,0.008637959027223476,0.30272848481000597,0.19827457980068425
87,0.2962962962962963,0.3076923076923077,0.03846153846153846,0.04,0.18518518518518517,0.15384615384615385,0.014782064491589643,0.015021239977027565,0.22306597057427618,0.20018257694314032
88,0.2985074626865672,0.3414634146341463,0.0923076923076923,0.1,0.26865671641791045,0.24390243902439024,0.010247909039448841,0.0128203194835794,0.09501187648456055,0.13455083347556468
89,0.2916666666666667,0.24489795918367346,0.13043478260869565,0.0851063829787234,0.24999999999999994,0.16326530612244897,0.047326568651956204,0.042601467364417965,0.2365491651205937,0.1769248501613647
90,0.4363636363636364,0.13953488372093023,0.18867924528301888,0.0,0.3636363636363636,0.046511627906976744,0.023103257620595934,0,0.20306536259541988,0.02
91,0.34615384615384615,0.5660377358490567,0.28,0.3529411764705882,0.34615384615384615,0.41509433962264153,0.14942825782038724,0.16832484320875543,0.30864197530864196,0.48720354067446
92,0.2413793103448276,0.32653061224489793,0.14285714285714288,0.1702127659574468,0.20689655172413793,0.2857142857142857,0.07434360163166209,0.023113368211463745,0.21336553945249595,0.23771306275319118
93,0.42857142857142855,0.37931034482758624,0.23529411764705885,0.14285714285714288,0.3142857142857143,0.2758620689655172,0.07790345908226494,0.01801210737536247,0.38881394884092724,0.24001901140684415
94,0.23076923076923075,0.2033898305084746,0.0,0.0,0.15384615384615383,0.1694915254237288,0.009498525867740094,0.007434360163166208,0.11857707509881422,0.09689922480620154
95,0.36619718309859156,0.43243243243243246,0.17391304347826086,0.19444444444444448,0.2535211267605634,0.21621621621621623,0.0371749241029078,0.01835715308900808,0.25357470812016264,0.3177664594412403
96,0.49275362318840576,0.463768115942029,0.1791044776119403,0.11940298507462688,0.34782608695652173,0.2898550724637681,0.15588565984515926,0.014612432574893431,0.3841869026091449,0.28497264709166015
97,0.39999999999999997,0.30588235294117644,0.2413793103448276,0.09638554216867469,0.3666666666666667,0.2117647058823529,0.06941635502669709,0.022479007417262973,0.14273566569484936,0.2622922437673131
98,0.5,0.24242424242424243,0.25806451612903225,0.0625,0.40625000000000006,0.18181818181818182,0.020588815727980117,0.013713605456973251,0.37913270161790874,0.2191840277777778
99,0.3492063492063492,0.2758620689655172,0.09836065573770493,0.03571428571428571,0.1904761904761905,0.1379310344827586,0.01806193387447607,0.010144853044462408,0.1718213058419244,0.12152777777777778
100,0.2894736842105263,0.34146341463414637,0.1081081081081081,0.075,0.2105263157894737,0.2682926829268293,0.03330914317374546,0.014702029131303569,0.26013049450549447,0.2442622689357087
101,0.14285714285714285,0.20253164556962022,0.058823529411764705,0.07792207792207792,0.14285714285714285,0.12658227848101267,0.00408978207689963,0.01126513157564408,0.02380952380952381,0.06993006993006992
102,0.21818181818181817,0.24,0.0,0.0,0.14545454545454545,0.12,0.008517399705356638,0.00956240657444202,0.0816326530612245,0.08264462809917354
103,0.27692307692307694,0.30434782608695654,0.031746031746031744,0.11111111111111112,0.15384615384615383,0.21739130434782608,0.0041257047293647596,0.026037258624452747,0.058823529411764705,0.1636024882976103
104,0.34782608695652173,0.3333333333333333,0.22727272727272724,0.24137931034482757,0.34782608695652173,0.3,0.16981150619483193,0.09762877195286271,0.3151260504201681,0.37055335968379444
105,0.3333333333333333,0.275,0.17142857142857143,0.1282051282051282,0.25,0.225,0.11739801836534854,0.025984987978515034,0.2746586417535034,0.23914209115281504
106,0.16901408450704225,0.15384615384615385,0.028985507246376812,0.022471910112359546,0.11267605633802817,0.08791208791208793,0.010395801520111285,0.005034460682273033,0.0914004914004914,0.10009128847157016
107,0.4383561643835617,0.37974683544303794,0.19718309859154928,0.1038961038961039,0.3835616438356164,0.2278481012658228,0.0570664802350437,0.007232031895361329,0.36457765667574943,0.2692069736821232
108,0.5555555555555555,0.17857142857142855,0.4615384615384615,0.0,0.4814814814814815,0.10714285714285714,0.355402294764931,0.00821807407726565,0.4141389953171562,0.056818181818181816
109,0.3098591549295775,0.31884057971014496,0.057971014492753624,0.02985074626865672,0.14084507042253522,0.11594202898550725,0.01222498616281612,0.007094215779738816,0.132013201320132,0.15000000000000002
110,0.3673469387755102,0.42857142857142855,0.1702127659574468,0.1851851851851852,0.2857142857142857,0.2857142857142857,0.05305477078596419,0.01867506984330751,0.16194331983805668,0.3498039215686275
111,0.360655737704918,0.4225352112676056,0.0,0.057971014492753624,0.16393442622950818,0.22535211267605634,0.009251727247302393,0.019726044743329736,0.13975155279503104,0.25532268795741847
112,0.25,0.2571428571428572,0.03703703703703704,0.029411764705882353,0.2142857142857143,0.17142857142857143,0.018085293154390277,0.01222498616281612,0.19530120979396345,0.16025641025641027
113,0.31578947368421056,0.1851851851851852,0.03636363636363636,0.03846153846153846,0.21052631578947367,0.11111111111111112,0.00822870241275069,0.007376038259384625,0.1426049795615013,0.05084745762711865
114,0.27272727272727276,0.46875,0.03125,0.2580645161290323,0.21212121212121213,0.28125,0.01317990097295627,0.03587958489610141,0.10610079575596817,0.2055406613047364
115,0.3492063492063492,0.20289855072463767,0.19672131147540986,0.02985074626865672,0.28571428571428564,0.14492753623188404,0.08658455882529464,0.007711727065811939,0.2717391304347826,0.1515758547008547
116,0.4482758620689655,0.4444444444444444,0.17857142857142855,0.06557377049180328,0.3448275862068965,0.3492063492063492,0.044459863949964804,0.01637699641854228,0.3024524132031083,0.18857566765578632
117,0.4047619047619048,0.7291666666666665,0.24390243902439024,0.6170212765957447,0.35714285714285715,0.7083333333333334,0.10704534893118657,0.40761400643973317,0.23057851239669422,0.6493268461743537
118,0.5818181818181818,0.5818181818181818,0.41509433962264153,0.41509433962264153,0.3272727272727273,0.3272727272727273,0.2061927630692647,0.1626105565326735,0.5417004048582996,0.5417004048582996
119,0.6233766233766234,0.5813953488372092,0.45333333333333337,0.42857142857142855,0.5194805194805194,0.3488372093023256,0.38820652309792664,0.2448482166357338,0.5452289023717595,0.43932931744566095
120,0.3235294117647059,0.4800000000000001,0.15151515151515152,0.1095890410958904,0.29411764705882354,0.29333333333333333,0.08121862281842253,0.02845813570354704,0.20458715596330276,0.21652001658451192
121,0.41269841269841273,0.3611111111111111,0.09836065573770492,0.1142857142857143,0.31746031746031744,0.27777777777777773,0.014917074526563963,0.011562497201211533,0.29213236905544593,0.3045634920634921
122,0.360655737704918,0.40963855421686746,0.23728813559322035,0.1728395061728395,0.26229508196721313,0.2891566265060241,0.07634005864175868,0.06877439247346581,0.2137931034482759,0.3024390243902439
